rule,premise,is_legendary,conclusion
R1506,generation-1/evolution-2/type1-bug/type2-poison/isTall-False,0,generation-1/evolution-2/type1-bug/type2-poison/isTall-False/is_legendary-0
R1507,generation-1/evolution-3/type1-bug/type2-poison/isTall-True,0,generation-1/evolution-3/type1-bug/type2-poison/isTall-True/is_legendary-0
R1508,generation-1/evolution-1/type1-normal/type2-flying/isTall-False,0,generation-1/evolution-1/type1-normal/type2-flying/isTall-False/is_legendary-0
R1509,generation-1/evolution-2/type1-normal/type2-flying/isTall-True,0,generation-1/evolution-2/type1-normal/type2-flying/isTall-True/is_legendary-0
R1510,generation-1/evolution-3/type1-normal/type2-flying/isTall-True,0,generation-1/evolution-3/type1-normal/type2-flying/isTall-True/is_legendary-0
R1511,generation-1/evolution-1/type1-normal/type2-dark/isTall-False,0,generation-1/evolution-1/type1-normal/type2-dark/isTall-False/is_legendary-0
R1512,generation-1/evolution-2/type1-normal/type2-dark/isTall-False,0,generation-1/evolution-2/type1-normal/type2-dark/isTall-False/is_legendary-0
R1513,generation-1/evolution-1/type1-poison/type2-nan/isTall-True,0,generation-1/evolution-1/type1-poison/type2-nan/isTall-True/is_legendary-0
R1514,generation-1/evolution-2/type1-poison/type2-nan/isTall-True,0,generation-1/evolution-2/type1-poison/type2-nan/isTall-True/is_legendary-0
R1515,generation-1/evolution-2/type1-electric/type2-nan/isTall-False,0,generation-1/evolution-2/type1-electric/type2-nan/isTall-False/is_legendary-0
R1516,generation-1/evolution-3/type1-electric/type2-electric/isTall-False,0,generation-1/evolution-3/type1-electric/type2-electric/isTall-False/is_legendary-0
R1517,generation-1/evolution-1/type1-ground/type2-ice/isTall-False,0,generation-1/evolution-1/type1-ground/type2-ice/isTall-False/is_legendary-0
R1518,generation-1/evolution-2/type1-ground/type2-ice/isTall-False,0,generation-1/evolution-2/type1-ground/type2-ice/isTall-False/is_legendary-0
R1519,generation-1/evolution-1/type1-poison/type2-nan/isTall-False,0,generation-1/evolution-1/type1-poison/type2-nan/isTall-False/is_legendary-0
R1520,generation-1/evolution-2/type1-poison/type2-nan/isTall-False,0,generation-1/evolution-2/type1-poison/type2-nan/isTall-False/is_legendary-0
R1521,generation-1/evolution-3/type1-poison/type2-ground/isTall-True,0,generation-1/evolution-3/type1-poison/type2-ground/isTall-True/is_legendary-0
R1522,generation-1/evolution-2/type1-fairy/type2-nan/isTall-False,0,generation-1/evolution-2/type1-fairy/type2-nan/isTall-False/is_legendary-0
R1523,generation-1/evolution-3/type1-fairy/type2-nan/isTall-True,0,generation-1/evolution-3/type1-fairy/type2-nan/isTall-True/is_legendary-0
R1524,generation-1/evolution-1/type1-fire/type2-ice/isTall-False,0,generation-1/evolution-1/type1-fire/type2-ice/isTall-False/is_legendary-0
R1525,generation-1/evolution-2/type1-fire/type2-ice/isTall-False,0,generation-1/evolution-2/type1-fire/type2-ice/isTall-False/is_legendary-0
R1526,generation-1/evolution-2/type1-normal/type2-fairy/isTall-False,0,generation-1/evolution-2/type1-normal/type2-fairy/isTall-False/is_legendary-0
R1527,generation-1/evolution-3/type1-normal/type2-fairy/isTall-True,0,generation-1/evolution-3/type1-normal/type2-fairy/isTall-True/is_legendary-0
R1528,generation-1/evolution-1/type1-poison/type2-flying/isTall-False,0,generation-1/evolution-1/type1-poison/type2-flying/isTall-False/is_legendary-0
R1529,generation-1/evolution-2/type1-poison/type2-flying/isTall-True,0,generation-1/evolution-2/type1-poison/type2-flying/isTall-True/is_legendary-0
R1530,generation-1/evolution-2/type1-grass/type2-poison/isTall-False,0,generation-1/evolution-2/type1-grass/type2-poison/isTall-False/is_legendary-0
R1531,generation-1/evolution-1/type1-bug/type2-grass/isTall-False,0,generation-1/evolution-1/type1-bug/type2-grass/isTall-False/is_legendary-0
R1532,generation-1/evolution-2/type1-bug/type2-grass/isTall-True,0,generation-1/evolution-2/type1-bug/type2-grass/isTall-True/is_legendary-0
R1533,generation-1/evolution-1/type1-bug/type2-poison/isTall-True,0,generation-1/evolution-1/type1-bug/type2-poison/isTall-True/is_legendary-0
R1534,generation-1/evolution-2/type1-bug/type2-poison/isTall-True,0,generation-1/evolution-2/type1-bug/type2-poison/isTall-True/is_legendary-0
R1535,generation-1/evolution-1/type1-ground/type2-ground/isTall-False,0,generation-1/evolution-1/type1-ground/type2-ground/isTall-False/is_legendary-0
R1536,generation-1/evolution-2/type1-ground/type2-ground/isTall-False,0,generation-1/evolution-2/type1-ground/type2-ground/isTall-False/is_legendary-0
R1537,generation-1/evolution-1/type1-fighting/type2-nan/isTall-False,0,generation-1/evolution-1/type1-fighting/type2-nan/isTall-False/is_legendary-0
R1538,generation-1/evolution-2/type1-fighting/type2-nan/isTall-True,0,generation-1/evolution-2/type1-fighting/type2-nan/isTall-True/is_legendary-0
R1539,generation-1/evolution-3/type1-water/type2-fighting/isTall-True,0,generation-1/evolution-3/type1-water/type2-fighting/isTall-True/is_legendary-0
R1540,generation-1/evolution-1/type1-psychic/type2-nan/isTall-False,0,generation-1/evolution-1/type1-psychic/type2-nan/isTall-False/is_legendary-0
R1541,generation-1/evolution-2/type1-psychic/type2-nan/isTall-True,0,generation-1/evolution-2/type1-psychic/type2-nan/isTall-True/is_legendary-0
R1542,generation-1/evolution-3/type1-psychic/type2-nan/isTall-True,0,generation-1/evolution-3/type1-psychic/type2-nan/isTall-True/is_legendary-0
R1543,generation-1/evolution-3/type1-fighting/type2-nan/isTall-True,0,generation-1/evolution-3/type1-fighting/type2-nan/isTall-True/is_legendary-0
R1544,generation-1/evolution-1/type1-water/type2-poison/isTall-False,0,generation-1/evolution-1/type1-water/type2-poison/isTall-False/is_legendary-0
R1545,generation-1/evolution-2/type1-water/type2-poison/isTall-True,0,generation-1/evolution-2/type1-water/type2-poison/isTall-True/is_legendary-0
R1546,generation-1/evolution-1/type1-rock/type2-ground/isTall-False,0,generation-1/evolution-1/type1-rock/type2-ground/isTall-False/is_legendary-0
R1547,generation-1/evolution-2/type1-rock/type2-ground/isTall-False,0,generation-1/evolution-2/type1-rock/type2-ground/isTall-False/is_legendary-0
R1548,generation-1/evolution-3/type1-rock/type2-ground/isTall-False,0,generation-1/evolution-3/type1-rock/type2-ground/isTall-False/is_legendary-0
R1549,generation-1/evolution-1/type1-fire/type2-nan/isTall-True,0,generation-1/evolution-1/type1-fire/type2-nan/isTall-True/is_legendary-0
R1550,generation-1/evolution-1/type1-water/type2-psychic/isTall-True,0,generation-1/evolution-1/type1-water/type2-psychic/isTall-True/is_legendary-0
R1551,generation-1/evolution-2/type1-water/type2-psychic/isTall-True,0,generation-1/evolution-2/type1-water/type2-psychic/isTall-True/is_legendary-0
R1552,generation-1/evolution-1/type1-electric/type2-steel/isTall-False,0,generation-1/evolution-1/type1-electric/type2-steel/isTall-False/is_legendary-0
R1553,generation-1/evolution-2/type1-electric/type2-steel/isTall-True,0,generation-1/evolution-2/type1-electric/type2-steel/isTall-True/is_legendary-0
R1554,generation-1/evolution-1/type1-normal/type2-flying/isTall-True,0,generation-1/evolution-1/type1-normal/type2-flying/isTall-True/is_legendary-0
R1555,generation-1/evolution-1/type1-water/type2-nan/isTall-True,0,generation-1/evolution-1/type1-water/type2-nan/isTall-True/is_legendary-0
R1556,generation-1/evolution-2/type1-water/type2-ice/isTall-True,0,generation-1/evolution-2/type1-water/type2-ice/isTall-True/is_legendary-0
R1557,generation-1/evolution-1/type1-poison/type2-poison/isTall-False,0,generation-1/evolution-1/type1-poison/type2-poison/isTall-False/is_legendary-0
R1558,generation-1/evolution-2/type1-poison/type2-poison/isTall-False,0,generation-1/evolution-2/type1-poison/type2-poison/isTall-False/is_legendary-0
R1559,generation-1/evolution-1/type1-ghost/type2-poison/isTall-True,0,generation-1/evolution-1/type1-ghost/type2-poison/isTall-True/is_legendary-0
R1560,generation-1/evolution-2/type1-ghost/type2-poison/isTall-True,0,generation-1/evolution-2/type1-ghost/type2-poison/isTall-True/is_legendary-0
R1561,generation-1/evolution-3/type1-ghost/type2-poison/isTall-True,0,generation-1/evolution-3/type1-ghost/type2-poison/isTall-True/is_legendary-0
R1562,generation-1/evolution-1/type1-rock/type2-ground/isTall-True,0,generation-1/evolution-1/type1-rock/type2-ground/isTall-True/is_legendary-0
R1563,generation-1/evolution-1/type1-psychic/type2-nan/isTall-True,0,generation-1/evolution-1/type1-psychic/type2-nan/isTall-True/is_legendary-0
R1564,generation-1/evolution-1/type1-electric/type2-nan/isTall-False,0,generation-1/evolution-1/type1-electric/type2-nan/isTall-False/is_legendary-0
R1565,generation-1/evolution-2/type1-electric/type2-nan/isTall-True,0,generation-1/evolution-2/type1-electric/type2-nan/isTall-True/is_legendary-0
R1566,generation-1/evolution-1/type1-grass/type2-psychic/isTall-False,0,generation-1/evolution-1/type1-grass/type2-psychic/isTall-False/is_legendary-0
R1567,generation-1/evolution-2/type1-grass/type2-psychic/isTall-False,0,generation-1/evolution-2/type1-grass/type2-psychic/isTall-False/is_legendary-0
R1568,generation-1/evolution-1/type1-ground/type2-nan/isTall-False,0,generation-1/evolution-1/type1-ground/type2-nan/isTall-False/is_legendary-0
R1569,generation-1/evolution-2/type1-ground/type2-fire/isTall-False,0,generation-1/evolution-2/type1-ground/type2-fire/isTall-False/is_legendary-0
R1570,generation-1/evolution-1/type1-normal/type2-nan/isTall-True,0,generation-1/evolution-1/type1-normal/type2-nan/isTall-True/is_legendary-0
R1571,generation-1/evolution-1/type1-ground/type2-rock/isTall-True,0,generation-1/evolution-1/type1-ground/type2-rock/isTall-True/is_legendary-0
R1572,generation-1/evolution-2/type1-ground/type2-rock/isTall-True,0,generation-1/evolution-2/type1-ground/type2-rock/isTall-True/is_legendary-0
R1573,generation-1/evolution-2/type1-normal/type2-nan/isTall-True,0,generation-1/evolution-2/type1-normal/type2-nan/isTall-True/is_legendary-0
R1574,generation-1/evolution-1/type1-grass/type2-nan/isTall-True,0,generation-1/evolution-1/type1-grass/type2-nan/isTall-True/is_legendary-0
R1575,generation-1/evolution-2/type1-psychic/type2-fairy/isTall-True,0,generation-1/evolution-2/type1-psychic/type2-fairy/isTall-True/is_legendary-0
R1576,generation-1/evolution-1/type1-bug/type2-flying/isTall-True,0,generation-1/evolution-1/type1-bug/type2-flying/isTall-True/is_legendary-0
R1577,generation-1/evolution-2/type1-ice/type2-psychic/isTall-True,0,generation-1/evolution-2/type1-ice/type2-psychic/isTall-True/is_legendary-0
R1578,generation-1/evolution-1/type1-bug/type2-nan/isTall-True,0,generation-1/evolution-1/type1-bug/type2-nan/isTall-True/is_legendary-0
R1579,generation-1/evolution-2/type1-water/type2-flying/isTall-True,0,generation-1/evolution-2/type1-water/type2-flying/isTall-True/is_legendary-0
R1580,generation-1/evolution-1/type1-water/type2-ice/isTall-True,0,generation-1/evolution-1/type1-water/type2-ice/isTall-True/is_legendary-0
R1581,generation-1/evolution-1/type1-normal/type2-nan/isTall-False,0,generation-1/evolution-1/type1-normal/type2-nan/isTall-False/is_legendary-0
R1582,generation-1/evolution-2/type1-fire/type2-nan/isTall-False,0,generation-1/evolution-2/type1-fire/type2-nan/isTall-False/is_legendary-0
R1583,generation-1/evolution-1/type1-rock/type2-water/isTall-False,0,generation-1/evolution-1/type1-rock/type2-water/isTall-False/is_legendary-0
R1584,generation-1/evolution-2/type1-rock/type2-water/isTall-True,0,generation-1/evolution-2/type1-rock/type2-water/isTall-True/is_legendary-0
R1585,generation-1/evolution-1/type1-rock/type2-flying/isTall-True,0,generation-1/evolution-1/type1-rock/type2-flying/isTall-True/is_legendary-0
R1586,generation-1/evolution-1/type1-ice/type2-flying/isTall-True,1,generation-1/evolution-1/type1-ice/type2-flying/isTall-True/is_legendary-1
R1587,generation-1/evolution-1/type1-electric/type2-flying/isTall-True,1,generation-1/evolution-1/type1-electric/type2-flying/isTall-True/is_legendary-1
R1588,generation-1/evolution-1/type1-fire/type2-flying/isTall-True,1,generation-1/evolution-1/type1-fire/type2-flying/isTall-True/is_legendary-1
R1589,generation-1/evolution-1/type1-dragon/type2-nan/isTall-True,0,generation-1/evolution-1/type1-dragon/type2-nan/isTall-True/is_legendary-0
R1590,generation-1/evolution-2/type1-dragon/type2-nan/isTall-True,0,generation-1/evolution-2/type1-dragon/type2-nan/isTall-True/is_legendary-0
R1591,generation-1/evolution-3/type1-dragon/type2-flying/isTall-True,0,generation-1/evolution-3/type1-dragon/type2-flying/isTall-True/is_legendary-0
R1592,generation-1/evolution-1/type1-psychic/type2-nan/isTall-True,1,generation-1/evolution-1/type1-psychic/type2-nan/isTall-True/is_legendary-1
R1593,generation-1/evolution-1/type1-psychic/type2-nan/isTall-False,1,generation-1/evolution-1/type1-psychic/type2-nan/isTall-False/is_legendary-1
R1594,generation-2/evolution-1/type1-grass/type2-nan/isTall-False,0,generation-2/evolution-1/type1-grass/type2-nan/isTall-False/is_legendary-0
R1595,generation-2/evolution-2/type1-grass/type2-nan/isTall-True,0,generation-2/evolution-2/type1-grass/type2-nan/isTall-True/is_legendary-0
R1596,generation-2/evolution-3/type1-grass/type2-nan/isTall-True,0,generation-2/evolution-3/type1-grass/type2-nan/isTall-True/is_legendary-0
R1597,generation-2/evolution-1/type1-fire/type2-nan/isTall-False,0,generation-2/evolution-1/type1-fire/type2-nan/isTall-False/is_legendary-0
R1598,generation-2/evolution-2/type1-fire/type2-nan/isTall-False,0,generation-2/evolution-2/type1-fire/type2-nan/isTall-False/is_legendary-0
R1599,generation-2/evolution-3/type1-fire/type2-nan/isTall-True,0,generation-2/evolution-3/type1-fire/type2-nan/isTall-True/is_legendary-0
R1600,generation-2/evolution-1/type1-water/type2-nan/isTall-False,0,generation-2/evolution-1/type1-water/type2-nan/isTall-False/is_legendary-0
R1601,generation-2/evolution-2/type1-water/type2-nan/isTall-True,0,generation-2/evolution-2/type1-water/type2-nan/isTall-True/is_legendary-0
R1602,generation-2/evolution-3/type1-water/type2-nan/isTall-True,0,generation-2/evolution-3/type1-water/type2-nan/isTall-True/is_legendary-0
R1603,generation-2/evolution-1/type1-normal/type2-nan/isTall-False,0,generation-2/evolution-1/type1-normal/type2-nan/isTall-False/is_legendary-0
R1604,generation-2/evolution-2/type1-normal/type2-nan/isTall-True,0,generation-2/evolution-2/type1-normal/type2-nan/isTall-True/is_legendary-0
R1605,generation-2/evolution-1/type1-normal/type2-flying/isTall-False,0,generation-2/evolution-1/type1-normal/type2-flying/isTall-False/is_legendary-0
R1606,generation-2/evolution-2/type1-normal/type2-flying/isTall-True,0,generation-2/evolution-2/type1-normal/type2-flying/isTall-True/is_legendary-0
R1607,generation-2/evolution-1/type1-bug/type2-flying/isTall-True,0,generation-2/evolution-1/type1-bug/type2-flying/isTall-True/is_legendary-0
R1608,generation-2/evolution-2/type1-bug/type2-flying/isTall-True,0,generation-2/evolution-2/type1-bug/type2-flying/isTall-True/is_legendary-0
R1609,generation-2/evolution-1/type1-bug/type2-poison/isTall-False,0,generation-2/evolution-1/type1-bug/type2-poison/isTall-False/is_legendary-0
R1610,generation-2/evolution-2/type1-bug/type2-poison/isTall-True,0,generation-2/evolution-2/type1-bug/type2-poison/isTall-True/is_legendary-0
R1611,generation-2/evolution-3/type1-poison/type2-flying/isTall-True,0,generation-2/evolution-3/type1-poison/type2-flying/isTall-True/is_legendary-0
R1612,generation-2/evolution-1/type1-water/type2-electric/isTall-False,0,generation-2/evolution-1/type1-water/type2-electric/isTall-False/is_legendary-0
R1613,generation-2/evolution-2/type1-water/type2-electric/isTall-True,0,generation-2/evolution-2/type1-water/type2-electric/isTall-True/is_legendary-0
R1614,generation-2/evolution-1/type1-electric/type2-nan/isTall-False,0,generation-2/evolution-1/type1-electric/type2-nan/isTall-False/is_legendary-0
R1615,generation-2/evolution-1/type1-fairy/type2-nan/isTall-False,0,generation-2/evolution-1/type1-fairy/type2-nan/isTall-False/is_legendary-0
R1616,generation-2/evolution-1/type1-normal/type2-fairy/isTall-False,0,generation-2/evolution-1/type1-normal/type2-fairy/isTall-False/is_legendary-0
R1617,generation-2/evolution-2/type1-fairy/type2-flying/isTall-False,0,generation-2/evolution-2/type1-fairy/type2-flying/isTall-False/is_legendary-0
R1618,generation-2/evolution-1/type1-psychic/type2-flying/isTall-False,0,generation-2/evolution-1/type1-psychic/type2-flying/isTall-False/is_legendary-0
R1619,generation-2/evolution-2/type1-psychic/type2-flying/isTall-True,0,generation-2/evolution-2/type1-psychic/type2-flying/isTall-True/is_legendary-0
R1620,generation-2/evolution-2/type1-electric/type2-nan/isTall-False,0,generation-2/evolution-2/type1-electric/type2-nan/isTall-False/is_legendary-0
R1621,generation-2/evolution-3/type1-electric/type2-nan/isTall-True,0,generation-2/evolution-3/type1-electric/type2-nan/isTall-True/is_legendary-0
R1622,generation-2/evolution-3/type1-grass/type2-nan/isTall-False,0,generation-2/evolution-3/type1-grass/type2-nan/isTall-False/is_legendary-0
R1623,generation-2/evolution-2/type1-water/type2-fairy/isTall-False,0,generation-2/evolution-2/type1-water/type2-fairy/isTall-False/is_legendary-0
R1624,generation-2/evolution-3/type1-water/type2-fairy/isTall-False,0,generation-2/evolution-3/type1-water/type2-fairy/isTall-False/is_legendary-0
R1625,generation-2/evolution-2/type1-rock/type2-nan/isTall-True,0,generation-2/evolution-2/type1-rock/type2-nan/isTall-True/is_legendary-0
R1626,generation-2/evolution-1/type1-grass/type2-flying/isTall-False,0,generation-2/evolution-1/type1-grass/type2-flying/isTall-False/is_legendary-0
R1627,generation-2/evolution-2/type1-grass/type2-flying/isTall-False,0,generation-2/evolution-2/type1-grass/type2-flying/isTall-False/is_legendary-0
R1628,generation-2/evolution-3/type1-grass/type2-flying/isTall-False,0,generation-2/evolution-3/type1-grass/type2-flying/isTall-False/is_legendary-0
R1629,generation-2/evolution-2/type1-grass/type2-nan/isTall-False,0,generation-2/evolution-2/type1-grass/type2-nan/isTall-False/is_legendary-0
R1630,generation-2/evolution-1/type1-water/type2-ground/isTall-False,0,generation-2/evolution-1/type1-water/type2-ground/isTall-False/is_legendary-0
R1631,generation-2/evolution-2/type1-water/type2-ground/isTall-True,0,generation-2/evolution-2/type1-water/type2-ground/isTall-True/is_legendary-0
R1632,generation-2/evolution-2/type1-psychic/type2-nan/isTall-False,0,generation-2/evolution-2/type1-psychic/type2-nan/isTall-False/is_legendary-0
R1633,generation-2/evolution-2/type1-dark/type2-nan/isTall-True,0,generation-2/evolution-2/type1-dark/type2-nan/isTall-True/is_legendary-0
R1634,generation-2/evolution-1/type1-dark/type2-flying/isTall-False,0,generation-2/evolution-1/type1-dark/type2-flying/isTall-False/is_legendary-0
R1635,generation-2/evolution-2/type1-water/type2-psychic/isTall-True,0,generation-2/evolution-2/type1-water/type2-psychic/isTall-True/is_legendary-0
R1636,generation-2/evolution-1/type1-ghost/type2-nan/isTall-False,0,generation-2/evolution-1/type1-ghost/type2-nan/isTall-False/is_legendary-0
R1637,generation-2/evolution-1/type1-psychic/type2-nan/isTall-False,0,generation-2/evolution-1/type1-psychic/type2-nan/isTall-False/is_legendary-0
R1638,generation-2/evolution-2/type1-psychic/type2-nan/isTall-True,0,generation-2/evolution-2/type1-psychic/type2-nan/isTall-True/is_legendary-0
R1639,generation-2/evolution-1/type1-normal/type2-psychic/isTall-True,0,generation-2/evolution-1/type1-normal/type2-psychic/isTall-True/is_legendary-0
R1640,generation-2/evolution-1/type1-bug/type2-nan/isTall-False,0,generation-2/evolution-1/type1-bug/type2-nan/isTall-False/is_legendary-0
R1641,generation-2/evolution-2/type1-bug/type2-steel/isTall-True,0,generation-2/evolution-2/type1-bug/type2-steel/isTall-True/is_legendary-0
R1642,generation-2/evolution-1/type1-normal/type2-nan/isTall-True,0,generation-2/evolution-1/type1-normal/type2-nan/isTall-True/is_legendary-0
R1643,generation-2/evolution-1/type1-ground/type2-flying/isTall-True,0,generation-2/evolution-1/type1-ground/type2-flying/isTall-True/is_legendary-0
R1644,generation-2/evolution-2/type1-steel/type2-ground/isTall-True,0,generation-2/evolution-2/type1-steel/type2-ground/isTall-True/is_legendary-0
R1645,generation-2/evolution-2/type1-fairy/type2-nan/isTall-True,0,generation-2/evolution-2/type1-fairy/type2-nan/isTall-True/is_legendary-0
R1646,generation-2/evolution-1/type1-water/type2-poison/isTall-False,0,generation-2/evolution-1/type1-water/type2-poison/isTall-False/is_legendary-0
R1647,generation-2/evolution-1/type1-bug/type2-rock/isTall-False,0,generation-2/evolution-1/type1-bug/type2-rock/isTall-False/is_legendary-0
R1648,generation-2/evolution-1/type1-bug/type2-fighting/isTall-True,0,generation-2/evolution-1/type1-bug/type2-fighting/isTall-True/is_legendary-0
R1649,generation-2/evolution-1/type1-dark/type2-ice/isTall-False,0,generation-2/evolution-1/type1-dark/type2-ice/isTall-False/is_legendary-0
R1650,generation-2/evolution-2/type1-fire/type2-rock/isTall-False,0,generation-2/evolution-2/type1-fire/type2-rock/isTall-False/is_legendary-0
R1651,generation-2/evolution-1/type1-ice/type2-ground/isTall-False,0,generation-2/evolution-1/type1-ice/type2-ground/isTall-False/is_legendary-0
R1652,generation-2/evolution-2/type1-ice/type2-ground/isTall-True,0,generation-2/evolution-2/type1-ice/type2-ground/isTall-True/is_legendary-0
R1653,generation-2/evolution-1/type1-water/type2-rock/isTall-False,0,generation-2/evolution-1/type1-water/type2-rock/isTall-False/is_legendary-0
R1654,generation-2/evolution-2/type1-water/type2-nan/isTall-False,0,generation-2/evolution-2/type1-water/type2-nan/isTall-False/is_legendary-0
R1655,generation-2/evolution-1/type1-ice/type2-flying/isTall-False,0,generation-2/evolution-1/type1-ice/type2-flying/isTall-False/is_legendary-0
R1656,generation-2/evolution-2/type1-water/type2-flying/isTall-True,0,generation-2/evolution-2/type1-water/type2-flying/isTall-True/is_legendary-0
R1657,generation-2/evolution-1/type1-steel/type2-flying/isTall-True,0,generation-2/evolution-1/type1-steel/type2-flying/isTall-True/is_legendary-0
R1658,generation-2/evolution-1/type1-dark/type2-fire/isTall-False,0,generation-2/evolution-1/type1-dark/type2-fire/isTall-False/is_legendary-0
R1659,generation-2/evolution-2/type1-dark/type2-fire/isTall-True,0,generation-2/evolution-2/type1-dark/type2-fire/isTall-True/is_legendary-0
R1660,generation-2/evolution-3/type1-water/type2-dragon/isTall-True,0,generation-2/evolution-3/type1-water/type2-dragon/isTall-True/is_legendary-0
R1661,generation-2/evolution-1/type1-ground/type2-nan/isTall-False,0,generation-2/evolution-1/type1-ground/type2-nan/isTall-False/is_legendary-0
R1662,generation-2/evolution-2/type1-ground/type2-nan/isTall-True,0,generation-2/evolution-2/type1-ground/type2-nan/isTall-True/is_legendary-0
R1663,generation-2/evolution-2/type1-normal/type2-nan/isTall-False,0,generation-2/evolution-2/type1-normal/type2-nan/isTall-False/is_legendary-0
R1664,generation-2/evolution-1/type1-fighting/type2-nan/isTall-False,0,generation-2/evolution-1/type1-fighting/type2-nan/isTall-False/is_legendary-0
R1665,generation-2/evolution-2/type1-fighting/type2-nan/isTall-True,0,generation-2/evolution-2/type1-fighting/type2-nan/isTall-True/is_legendary-0
R1666,generation-2/evolution-1/type1-ice/type2-psychic/isTall-False,0,generation-2/evolution-1/type1-ice/type2-psychic/isTall-False/is_legendary-0
R1667,generation-2/evolution-3/type1-normal/type2-nan/isTall-True,0,generation-2/evolution-3/type1-normal/type2-nan/isTall-True/is_legendary-0
R1668,generation-2/evolution-1/type1-electric/type2-nan/isTall-True,1,generation-2/evolution-1/type1-electric/type2-nan/isTall-True/is_legendary-1
R1669,generation-2/evolution-1/type1-fire/type2-nan/isTall-True,1,generation-2/evolution-1/type1-fire/type2-nan/isTall-True/is_legendary-1
R1670,generation-2/evolution-1/type1-water/type2-nan/isTall-True,1,generation-2/evolution-1/type1-water/type2-nan/isTall-True/is_legendary-1
R1671,generation-2/evolution-1/type1-rock/type2-ground/isTall-False,0,generation-2/evolution-1/type1-rock/type2-ground/isTall-False/is_legendary-0
R1672,generation-2/evolution-2/type1-rock/type2-ground/isTall-True,0,generation-2/evolution-2/type1-rock/type2-ground/isTall-True/is_legendary-0
R1673,generation-2/evolution-3/type1-rock/type2-dark/isTall-True,0,generation-2/evolution-3/type1-rock/type2-dark/isTall-True/is_legendary-0
R1674,generation-2/evolution-1/type1-psychic/type2-flying/isTall-True,1,generation-2/evolution-1/type1-psychic/type2-flying/isTall-True/is_legendary-1
R1675,generation-2/evolution-1/type1-fire/type2-flying/isTall-True,1,generation-2/evolution-1/type1-fire/type2-flying/isTall-True/is_legendary-1
R1676,generation-2/evolution-1/type1-psychic/type2-grass/isTall-False,1,generation-2/evolution-1/type1-psychic/type2-grass/isTall-False/is_legendary-1
R1677,generation-3/evolution-1/type1-grass/type2-nan/isTall-False,0,generation-3/evolution-1/type1-grass/type2-nan/isTall-False/is_legendary-0
R1678,generation-3/evolution-2/type1-grass/type2-nan/isTall-False,0,generation-3/evolution-2/type1-grass/type2-nan/isTall-False/is_legendary-0
R1679,generation-3/evolution-3/type1-grass/type2-nan/isTall-True,0,generation-3/evolution-3/type1-grass/type2-nan/isTall-True/is_legendary-0
R1680,generation-3/evolution-1/type1-fire/type2-nan/isTall-False,0,generation-3/evolution-1/type1-fire/type2-nan/isTall-False/is_legendary-0
R1681,generation-3/evolution-2/type1-fire/type2-fighting/isTall-False,0,generation-3/evolution-2/type1-fire/type2-fighting/isTall-False/is_legendary-0
R1682,generation-3/evolution-3/type1-fire/type2-fighting/isTall-True,0,generation-3/evolution-3/type1-fire/type2-fighting/isTall-True/is_legendary-0
R1683,generation-3/evolution-1/type1-water/type2-nan/isTall-False,0,generation-3/evolution-1/type1-water/type2-nan/isTall-False/is_legendary-0
R1684,generation-3/evolution-2/type1-water/type2-ground/isTall-False,0,generation-3/evolution-2/type1-water/type2-ground/isTall-False/is_legendary-0
R1685,generation-3/evolution-3/type1-water/type2-ground/isTall-True,0,generation-3/evolution-3/type1-water/type2-ground/isTall-True/is_legendary-0
