rule,premise,type1,conclusion
R143,generation-3/evolution-2,ghost,generation-3/evolution-2/type1-ghost
R144,generation-3/evolution-1,ice,generation-3/evolution-1/type1-ice
R145,generation-3/evolution-2,ice,generation-3/evolution-2/type1-ice
R146,generation-3/evolution-3,ice,generation-3/evolution-3/type1-ice
R147,generation-3/evolution-1,dragon,generation-3/evolution-1/type1-dragon
R148,generation-3/evolution-3,dragon,generation-3/evolution-3/type1-dragon
R149,generation-4/evolution-1,grass,generation-4/evolution-1/type1-grass
R150,generation-4/evolution-2,grass,generation-4/evolution-2/type1-grass
R151,generation-4/evolution-3,grass,generation-4/evolution-3/type1-grass
R152,generation-4/evolution-1,fire,generation-4/evolution-1/type1-fire
R153,generation-4/evolution-2,fire,generation-4/evolution-2/type1-fire
R154,generation-4/evolution-3,fire,generation-4/evolution-3/type1-fire
R155,generation-4/evolution-1,water,generation-4/evolution-1/type1-water
R156,generation-4/evolution-2,water,generation-4/evolution-2/type1-water
R157,generation-4/evolution-3,water,generation-4/evolution-3/type1-water
R158,generation-4/evolution-1,normal,generation-4/evolution-1/type1-normal
R159,generation-4/evolution-2,normal,generation-4/evolution-2/type1-normal
R160,generation-4/evolution-3,normal,generation-4/evolution-3/type1-normal
R161,generation-4/evolution-1,bug,generation-4/evolution-1/type1-bug
R162,generation-4/evolution-2,bug,generation-4/evolution-2/type1-bug
R163,generation-4/evolution-1,electric,generation-4/evolution-1/type1-electric
R164,generation-4/evolution-2,electric,generation-4/evolution-2/type1-electric
R165,generation-4/evolution-3,electric,generation-4/evolution-3/type1-electric
R166,generation-4/evolution-1,rock,generation-4/evolution-1/type1-rock
R167,generation-4/evolution-2,rock,generation-4/evolution-2/type1-rock
R168,generation-4/evolution-1,ghost,generation-4/evolution-1/type1-ghost
R169,generation-4/evolution-2,ghost,generation-4/evolution-2/type1-ghost
R170,generation-4/evolution-2,dark,generation-4/evolution-2/type1-dark
R171,generation-4/evolution-1,psychic,generation-4/evolution-1/type1-psychic
R172,generation-4/evolution-1,poison,generation-4/evolution-1/type1-poison
R173,generation-4/evolution-2,poison,generation-4/evolution-2/type1-poison
R174,generation-4/evolution-1,steel,generation-4/evolution-1/type1-steel
R175,generation-4/evolution-2,steel,generation-4/evolution-2/type1-steel
R176,generation-4/evolution-1,dragon,generation-4/evolution-1/type1-dragon
R177,generation-4/evolution-2,dragon,generation-4/evolution-2/type1-dragon
R178,generation-4/evolution-3,dragon,generation-4/evolution-3/type1-dragon
R179,generation-4/evolution-1,fighting,generation-4/evolution-1/type1-fighting
R180,generation-4/evolution-2,fighting,generation-4/evolution-2/type1-fighting
R181,generation-4/evolution-1,ground,generation-4/evolution-1/type1-ground
R182,generation-4/evolution-2,ground,generation-4/evolution-2/type1-ground
R183,generation-4/evolution-3,ground,generation-4/evolution-3/type1-ground
R184,generation-4/evolution-3,fairy,generation-4/evolution-3/type1-fairy
R185,generation-4/evolution-2,ice,generation-4/evolution-2/type1-ice
R186,generation-4/evolution-3,ice,generation-4/evolution-3/type1-ice
R187,generation-4/evolution-3,psychic,generation-4/evolution-3/type1-psychic
R188,generation-4/evolution-3,ghost,generation-4/evolution-3/type1-ghost
R189,generation-4/evolution-1,dark,generation-4/evolution-1/type1-dark
R190,generation-5/evolution-1,psychic,generation-5/evolution-1/type1-psychic
R191,generation-5/evolution-1,grass,generation-5/evolution-1/type1-grass
R192,generation-5/evolution-2,grass,generation-5/evolution-2/type1-grass
R193,generation-5/evolution-3,grass,generation-5/evolution-3/type1-grass
R194,generation-5/evolution-1,fire,generation-5/evolution-1/type1-fire
R195,generation-5/evolution-2,fire,generation-5/evolution-2/type1-fire
R196,generation-5/evolution-3,fire,generation-5/evolution-3/type1-fire
R197,generation-5/evolution-1,water,generation-5/evolution-1/type1-water
R198,generation-5/evolution-2,water,generation-5/evolution-2/type1-water
R199,generation-5/evolution-3,water,generation-5/evolution-3/type1-water
R200,generation-5/evolution-1,normal,generation-5/evolution-1/type1-normal
R201,generation-5/evolution-2,normal,generation-5/evolution-2/type1-normal
R202,generation-5/evolution-3,normal,generation-5/evolution-3/type1-normal
R203,generation-5/evolution-1,dark,generation-5/evolution-1/type1-dark
R204,generation-5/evolution-2,dark,generation-5/evolution-2/type1-dark
R205,generation-5/evolution-2,psychic,generation-5/evolution-2/type1-psychic
R206,generation-5/evolution-1,electric,generation-5/evolution-1/type1-electric
R207,generation-5/evolution-2,electric,generation-5/evolution-2/type1-electric
R208,generation-5/evolution-1,rock,generation-5/evolution-1/type1-rock
R209,generation-5/evolution-2,rock,generation-5/evolution-2/type1-rock
R210,generation-5/evolution-3,rock,generation-5/evolution-3/type1-rock
R211,generation-5/evolution-1,ground,generation-5/evolution-1/type1-ground
R212,generation-5/evolution-2,ground,generation-5/evolution-2/type1-ground
R213,generation-5/evolution-1,fighting,generation-5/evolution-1/type1-fighting
R214,generation-5/evolution-2,fighting,generation-5/evolution-2/type1-fighting
R215,generation-5/evolution-3,fighting,generation-5/evolution-3/type1-fighting
R216,generation-5/evolution-1,bug,generation-5/evolution-1/type1-bug
R217,generation-5/evolution-2,bug,generation-5/evolution-2/type1-bug
R218,generation-5/evolution-3,bug,generation-5/evolution-3/type1-bug
R219,generation-5/evolution-3,ground,generation-5/evolution-3/type1-ground
R220,generation-5/evolution-1,ghost,generation-5/evolution-1/type1-ghost
R221,generation-5/evolution-2,ghost,generation-5/evolution-2/type1-ghost
R222,generation-5/evolution-1,poison,generation-5/evolution-1/type1-poison
R223,generation-5/evolution-2,poison,generation-5/evolution-2/type1-poison
R224,generation-5/evolution-3,psychic,generation-5/evolution-3/type1-psychic
R225,generation-5/evolution-1,ice,generation-5/evolution-1/type1-ice
R226,generation-5/evolution-2,ice,generation-5/evolution-2/type1-ice
R227,generation-5/evolution-3,ice,generation-5/evolution-3/type1-ice
R228,generation-5/evolution-1,steel,generation-5/evolution-1/type1-steel
R229,generation-5/evolution-2,steel,generation-5/evolution-2/type1-steel
R230,generation-5/evolution-3,steel,generation-5/evolution-3/type1-steel
R231,generation-5/evolution-3,electric,generation-5/evolution-3/type1-electric
R232,generation-5/evolution-3,ghost,generation-5/evolution-3/type1-ghost
R233,generation-5/evolution-1,dragon,generation-5/evolution-1/type1-dragon
R234,generation-5/evolution-2,dragon,generation-5/evolution-2/type1-dragon
R235,generation-5/evolution-3,dragon,generation-5/evolution-3/type1-dragon
R236,generation-5/evolution-3,dark,generation-5/evolution-3/type1-dark
R237,generation-5/evolution-1,flying,generation-5/evolution-1/type1-flying
R238,generation-6/evolution-1,grass,generation-6/evolution-1/type1-grass
R239,generation-6/evolution-2,grass,generation-6/evolution-2/type1-grass
R240,generation-6/evolution-3,grass,generation-6/evolution-3/type1-grass
R241,generation-6/evolution-1,fire,generation-6/evolution-1/type1-fire
R242,generation-6/evolution-2,fire,generation-6/evolution-2/type1-fire
R243,generation-6/evolution-3,fire,generation-6/evolution-3/type1-fire
R244,generation-6/evolution-1,water,generation-6/evolution-1/type1-water
R245,generation-6/evolution-2,water,generation-6/evolution-2/type1-water
R246,generation-6/evolution-3,water,generation-6/evolution-3/type1-water
R247,generation-6/evolution-1,normal,generation-6/evolution-1/type1-normal
R248,generation-6/evolution-2,normal,generation-6/evolution-2/type1-normal
R249,generation-6/evolution-1,bug,generation-6/evolution-1/type1-bug
R250,generation-6/evolution-2,bug,generation-6/evolution-2/type1-bug
R251,generation-6/evolution-3,bug,generation-6/evolution-3/type1-bug
R252,generation-6/evolution-1,fairy,generation-6/evolution-1/type1-fairy
R253,generation-6/evolution-2,fairy,generation-6/evolution-2/type1-fairy
R254,generation-6/evolution-3,fairy,generation-6/evolution-3/type1-fairy
R255,generation-6/evolution-1,fighting,generation-6/evolution-1/type1-fighting
R256,generation-6/evolution-2,fighting,generation-6/evolution-2/type1-fighting
R257,generation-6/evolution-1,psychic,generation-6/evolution-1/type1-psychic
R258,generation-6/evolution-2,psychic,generation-6/evolution-2/type1-psychic
R259,generation-6/evolution-1,steel,generation-6/evolution-1/type1-steel
R260,generation-6/evolution-2,steel,generation-6/evolution-2/type1-steel
R261,generation-6/evolution-3,steel,generation-6/evolution-3/type1-steel
R262,generation-6/evolution-1,dark,generation-6/evolution-1/type1-dark
R263,generation-6/evolution-2,dark,generation-6/evolution-2/type1-dark
R264,generation-6/evolution-1,rock,generation-6/evolution-1/type1-rock
R265,generation-6/evolution-2,rock,generation-6/evolution-2/type1-rock
R266,generation-6/evolution-1,poison,generation-6/evolution-1/type1-poison
R267,generation-6/evolution-2,poison,generation-6/evolution-2/type1-poison
R268,generation-6/evolution-1,electric,generation-6/evolution-1/type1-electric
R269,generation-6/evolution-2,electric,generation-6/evolution-2/type1-electric
R270,generation-6/evolution-1,dragon,generation-6/evolution-1/type1-dragon
R271,generation-6/evolution-2,dragon,generation-6/evolution-2/type1-dragon
R272,generation-6/evolution-3,dragon,generation-6/evolution-3/type1-dragon
R273,generation-6/evolution-1,ghost,generation-6/evolution-1/type1-ghost
R274,generation-6/evolution-2,ghost,generation-6/evolution-2/type1-ghost
R275,generation-6/evolution-1,ice,generation-6/evolution-1/type1-ice
R276,generation-6/evolution-2,ice,generation-6/evolution-2/type1-ice
R277,generation-6/evolution-1,flying,generation-6/evolution-1/type1-flying
R278,generation-6/evolution-2,flying,generation-6/evolution-2/type1-flying
R279,generation-7/evolution-1,grass,generation-7/evolution-1/type1-grass
R280,generation-7/evolution-2,grass,generation-7/evolution-2/type1-grass
R281,generation-7/evolution-3,grass,generation-7/evolution-3/type1-grass
R282,generation-7/evolution-1,fire,generation-7/evolution-1/type1-fire
R283,generation-7/evolution-2,fire,generation-7/evolution-2/type1-fire
R284,generation-7/evolution-3,fire,generation-7/evolution-3/type1-fire
R285,generation-7/evolution-1,water,generation-7/evolution-1/type1-water
R286,generation-7/evolution-2,water,generation-7/evolution-2/type1-water
R287,generation-7/evolution-3,water,generation-7/evolution-3/type1-water
R288,generation-7/evolution-1,normal,generation-7/evolution-1/type1-normal
R289,generation-7/evolution-2,normal,generation-7/evolution-2/type1-normal
R290,generation-7/evolution-3,normal,generation-7/evolution-3/type1-normal
R291,generation-7/evolution-1,bug,generation-7/evolution-1/type1-bug
R292,generation-7/evolution-2,bug,generation-7/evolution-2/type1-bug
R293,generation-7/evolution-3,bug,generation-7/evolution-3/type1-bug
R294,generation-7/evolution-1,fighting,generation-7/evolution-1/type1-fighting
R295,generation-7/evolution-2,fighting,generation-7/evolution-2/type1-fighting
R296,generation-7/evolution-1,rock,generation-7/evolution-1/type1-rock
R297,generation-7/evolution-2,rock,generation-7/evolution-2/type1-rock
R298,generation-7/evolution-1,poison,generation-7/evolution-1/type1-poison
R299,generation-7/evolution-2,poison,generation-7/evolution-2/type1-poison
R300,generation-7/evolution-1,ground,generation-7/evolution-1/type1-ground
R301,generation-7/evolution-2,ground,generation-7/evolution-2/type1-ground
R302,generation-7/evolution-1,fairy,generation-7/evolution-1/type1-fairy
R303,generation-7/evolution-1,ghost,generation-7/evolution-1/type1-ghost
R304,generation-7/evolution-2,ghost,generation-7/evolution-2/type1-ghost
R305,generation-7/evolution-1,electric,generation-7/evolution-1/type1-electric
R306,generation-7/evolution-1,dragon,generation-7/evolution-1/type1-dragon
R307,generation-7/evolution-2,dragon,generation-7/evolution-2/type1-dragon
R308,generation-7/evolution-3,dragon,generation-7/evolution-3/type1-dragon
R309,generation-7/evolution-1,psychic,generation-7/evolution-1/type1-psychic
R310,generation-7/evolution-2,psychic,generation-7/evolution-2/type1-psychic
R311,generation-7/evolution-3,psychic,generation-7/evolution-3/type1-psychic
R312,generation-7/evolution-1,steel,generation-7/evolution-1/type1-steel
R313,generation-7/evolution-1,dark,generation-7/evolution-1/type1-dark
