rule,premise,is_tall,conclusion
R895,generation-1/evolution-3/type1-electric/type2-electric,non,generation-1/evolution-3/type1-electric/type2-electric/is_tall-non
R896,generation-1/evolution-1/type1-ground/type2-ice,non,generation-1/evolution-1/type1-ground/type2-ice/is_tall-non
R897,generation-1/evolution-2/type1-ground/type2-ice,non,generation-1/evolution-2/type1-ground/type2-ice/is_tall-non
R898,generation-1/evolution-1/type1-poison/type2-aucun,non,generation-1/evolution-1/type1-poison/type2-aucun/is_tall-non
R899,generation-1/evolution-2/type1-poison/type2-aucun,non,generation-1/evolution-2/type1-poison/type2-aucun/is_tall-non
R900,generation-1/evolution-3/type1-poison/type2-ground,oui,generation-1/evolution-3/type1-poison/type2-ground/is_tall-oui
R901,generation-1/evolution-2/type1-fairy/type2-aucun,non,generation-1/evolution-2/type1-fairy/type2-aucun/is_tall-non
R902,generation-1/evolution-3/type1-fairy/type2-aucun,oui,generation-1/evolution-3/type1-fairy/type2-aucun/is_tall-oui
R903,generation-1/evolution-1/type1-fire/type2-ice,non,generation-1/evolution-1/type1-fire/type2-ice/is_tall-non
R904,generation-1/evolution-2/type1-fire/type2-ice,non,generation-1/evolution-2/type1-fire/type2-ice/is_tall-non
R905,generation-1/evolution-2/type1-normal/type2-fairy,non,generation-1/evolution-2/type1-normal/type2-fairy/is_tall-non
R906,generation-1/evolution-3/type1-normal/type2-fairy,oui,generation-1/evolution-3/type1-normal/type2-fairy/is_tall-oui
R907,generation-1/evolution-1/type1-poison/type2-flying,non,generation-1/evolution-1/type1-poison/type2-flying/is_tall-non
R908,generation-1/evolution-2/type1-poison/type2-flying,oui,generation-1/evolution-2/type1-poison/type2-flying/is_tall-oui
R909,generation-1/evolution-2/type1-grass/type2-poison,non,generation-1/evolution-2/type1-grass/type2-poison/is_tall-non
R910,generation-1/evolution-1/type1-bug/type2-grass,non,generation-1/evolution-1/type1-bug/type2-grass/is_tall-non
R911,generation-1/evolution-2/type1-bug/type2-grass,oui,generation-1/evolution-2/type1-bug/type2-grass/is_tall-oui
R912,generation-1/evolution-1/type1-bug/type2-poison,oui,generation-1/evolution-1/type1-bug/type2-poison/is_tall-oui
R913,generation-1/evolution-2/type1-bug/type2-poison,oui,generation-1/evolution-2/type1-bug/type2-poison/is_tall-oui
R914,generation-1/evolution-1/type1-ground/type2-ground,non,generation-1/evolution-1/type1-ground/type2-ground/is_tall-non
R915,generation-1/evolution-2/type1-ground/type2-ground,non,generation-1/evolution-2/type1-ground/type2-ground/is_tall-non
R916,generation-1/evolution-1/type1-fighting/type2-aucun,non,generation-1/evolution-1/type1-fighting/type2-aucun/is_tall-non
R917,generation-1/evolution-2/type1-fighting/type2-aucun,oui,generation-1/evolution-2/type1-fighting/type2-aucun/is_tall-oui
R918,generation-1/evolution-3/type1-water/type2-fighting,oui,generation-1/evolution-3/type1-water/type2-fighting/is_tall-oui
R919,generation-1/evolution-1/type1-psychic/type2-aucun,non,generation-1/evolution-1/type1-psychic/type2-aucun/is_tall-non
R920,generation-1/evolution-2/type1-psychic/type2-aucun,oui,generation-1/evolution-2/type1-psychic/type2-aucun/is_tall-oui
R921,generation-1/evolution-3/type1-psychic/type2-aucun,oui,generation-1/evolution-3/type1-psychic/type2-aucun/is_tall-oui
R922,generation-1/evolution-3/type1-fighting/type2-aucun,oui,generation-1/evolution-3/type1-fighting/type2-aucun/is_tall-oui
R923,generation-1/evolution-1/type1-water/type2-poison,non,generation-1/evolution-1/type1-water/type2-poison/is_tall-non
R924,generation-1/evolution-2/type1-water/type2-poison,oui,generation-1/evolution-2/type1-water/type2-poison/is_tall-oui
R925,generation-1/evolution-1/type1-rock/type2-ground,non,generation-1/evolution-1/type1-rock/type2-ground/is_tall-non
R926,generation-1/evolution-2/type1-rock/type2-ground,non,generation-1/evolution-2/type1-rock/type2-ground/is_tall-non
R927,generation-1/evolution-3/type1-rock/type2-ground,non,generation-1/evolution-3/type1-rock/type2-ground/is_tall-non
R928,generation-1/evolution-1/type1-fire/type2-aucun,oui,generation-1/evolution-1/type1-fire/type2-aucun/is_tall-oui
R929,generation-1/evolution-1/type1-water/type2-psychic,oui,generation-1/evolution-1/type1-water/type2-psychic/is_tall-oui
R930,generation-1/evolution-2/type1-water/type2-psychic,oui,generation-1/evolution-2/type1-water/type2-psychic/is_tall-oui
R931,generation-1/evolution-1/type1-electric/type2-steel,non,generation-1/evolution-1/type1-electric/type2-steel/is_tall-non
R932,generation-1/evolution-2/type1-electric/type2-steel,oui,generation-1/evolution-2/type1-electric/type2-steel/is_tall-oui
R933,generation-1/evolution-1/type1-normal/type2-flying,oui,generation-1/evolution-1/type1-normal/type2-flying/is_tall-oui
R934,generation-1/evolution-1/type1-water/type2-aucun,oui,generation-1/evolution-1/type1-water/type2-aucun/is_tall-oui
R935,generation-1/evolution-2/type1-water/type2-ice,oui,generation-1/evolution-2/type1-water/type2-ice/is_tall-oui
R936,generation-1/evolution-1/type1-poison/type2-poison,non,generation-1/evolution-1/type1-poison/type2-poison/is_tall-non
R937,generation-1/evolution-2/type1-poison/type2-poison,non,generation-1/evolution-2/type1-poison/type2-poison/is_tall-non
R938,generation-1/evolution-1/type1-ghost/type2-poison,oui,generation-1/evolution-1/type1-ghost/type2-poison/is_tall-oui
R939,generation-1/evolution-2/type1-ghost/type2-poison,oui,generation-1/evolution-2/type1-ghost/type2-poison/is_tall-oui
R940,generation-1/evolution-3/type1-ghost/type2-poison,oui,generation-1/evolution-3/type1-ghost/type2-poison/is_tall-oui
R941,generation-1/evolution-1/type1-rock/type2-ground,oui,generation-1/evolution-1/type1-rock/type2-ground/is_tall-oui
R942,generation-1/evolution-1/type1-psychic/type2-aucun,oui,generation-1/evolution-1/type1-psychic/type2-aucun/is_tall-oui
R943,generation-1/evolution-1/type1-electric/type2-aucun,non,generation-1/evolution-1/type1-electric/type2-aucun/is_tall-non
R944,generation-1/evolution-2/type1-electric/type2-aucun,oui,generation-1/evolution-2/type1-electric/type2-aucun/is_tall-oui
R945,generation-1/evolution-1/type1-grass/type2-psychic,non,generation-1/evolution-1/type1-grass/type2-psychic/is_tall-non
R946,generation-1/evolution-2/type1-grass/type2-psychic,non,generation-1/evolution-2/type1-grass/type2-psychic/is_tall-non
R947,generation-1/evolution-1/type1-ground/type2-aucun,non,generation-1/evolution-1/type1-ground/type2-aucun/is_tall-non
R948,generation-1/evolution-2/type1-ground/type2-fire,non,generation-1/evolution-2/type1-ground/type2-fire/is_tall-non
R949,generation-1/evolution-1/type1-normal/type2-aucun,oui,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-oui
R950,generation-1/evolution-1/type1-ground/type2-rock,oui,generation-1/evolution-1/type1-ground/type2-rock/is_tall-oui
R951,generation-1/evolution-2/type1-ground/type2-rock,oui,generation-1/evolution-2/type1-ground/type2-rock/is_tall-oui
R952,generation-1/evolution-2/type1-normal/type2-aucun,oui,generation-1/evolution-2/type1-normal/type2-aucun/is_tall-oui
R953,generation-1/evolution-1/type1-grass/type2-aucun,oui,generation-1/evolution-1/type1-grass/type2-aucun/is_tall-oui
R954,generation-1/evolution-2/type1-psychic/type2-fairy,oui,generation-1/evolution-2/type1-psychic/type2-fairy/is_tall-oui
R955,generation-1/evolution-1/type1-bug/type2-flying,oui,generation-1/evolution-1/type1-bug/type2-flying/is_tall-oui
R956,generation-1/evolution-2/type1-ice/type2-psychic,oui,generation-1/evolution-2/type1-ice/type2-psychic/is_tall-oui
R957,generation-1/evolution-1/type1-bug/type2-aucun,oui,generation-1/evolution-1/type1-bug/type2-aucun/is_tall-oui
R958,generation-1/evolution-2/type1-water/type2-flying,oui,generation-1/evolution-2/type1-water/type2-flying/is_tall-oui
R959,generation-1/evolution-1/type1-water/type2-ice,oui,generation-1/evolution-1/type1-water/type2-ice/is_tall-oui
R960,generation-1/evolution-1/type1-normal/type2-aucun,non,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-non
R961,generation-1/evolution-2/type1-fire/type2-aucun,non,generation-1/evolution-2/type1-fire/type2-aucun/is_tall-non
R962,generation-1/evolution-1/type1-rock/type2-water,non,generation-1/evolution-1/type1-rock/type2-water/is_tall-non
R963,generation-1/evolution-2/type1-rock/type2-water,oui,generation-1/evolution-2/type1-rock/type2-water/is_tall-oui
R964,generation-1/evolution-1/type1-rock/type2-flying,oui,generation-1/evolution-1/type1-rock/type2-flying/is_tall-oui
R965,generation-1/evolution-1/type1-ice/type2-flying,oui,generation-1/evolution-1/type1-ice/type2-flying/is_tall-oui
R966,generation-1/evolution-1/type1-electric/type2-flying,oui,generation-1/evolution-1/type1-electric/type2-flying/is_tall-oui
R967,generation-1/evolution-1/type1-fire/type2-flying,oui,generation-1/evolution-1/type1-fire/type2-flying/is_tall-oui
R968,generation-1/evolution-1/type1-dragon/type2-aucun,oui,generation-1/evolution-1/type1-dragon/type2-aucun/is_tall-oui
R969,generation-1/evolution-2/type1-dragon/type2-aucun,oui,generation-1/evolution-2/type1-dragon/type2-aucun/is_tall-oui
R970,generation-1/evolution-3/type1-dragon/type2-flying,oui,generation-1/evolution-3/type1-dragon/type2-flying/is_tall-oui
R971,generation-2/evolution-1/type1-grass/type2-aucun,non,generation-2/evolution-1/type1-grass/type2-aucun/is_tall-non
R972,generation-2/evolution-2/type1-grass/type2-aucun,oui,generation-2/evolution-2/type1-grass/type2-aucun/is_tall-oui
R973,generation-2/evolution-3/type1-grass/type2-aucun,oui,generation-2/evolution-3/type1-grass/type2-aucun/is_tall-oui
R974,generation-2/evolution-1/type1-fire/type2-aucun,non,generation-2/evolution-1/type1-fire/type2-aucun/is_tall-non
R975,generation-2/evolution-2/type1-fire/type2-aucun,non,generation-2/evolution-2/type1-fire/type2-aucun/is_tall-non
R976,generation-2/evolution-3/type1-fire/type2-aucun,oui,generation-2/evolution-3/type1-fire/type2-aucun/is_tall-oui
R977,generation-2/evolution-1/type1-water/type2-aucun,non,generation-2/evolution-1/type1-water/type2-aucun/is_tall-non
R978,generation-2/evolution-2/type1-water/type2-aucun,oui,generation-2/evolution-2/type1-water/type2-aucun/is_tall-oui
R979,generation-2/evolution-3/type1-water/type2-aucun,oui,generation-2/evolution-3/type1-water/type2-aucun/is_tall-oui
R980,generation-2/evolution-1/type1-normal/type2-aucun,non,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-non
R981,generation-2/evolution-2/type1-normal/type2-aucun,oui,generation-2/evolution-2/type1-normal/type2-aucun/is_tall-oui
R982,generation-2/evolution-1/type1-normal/type2-flying,non,generation-2/evolution-1/type1-normal/type2-flying/is_tall-non
R983,generation-2/evolution-2/type1-normal/type2-flying,oui,generation-2/evolution-2/type1-normal/type2-flying/is_tall-oui
R984,generation-2/evolution-1/type1-bug/type2-flying,oui,generation-2/evolution-1/type1-bug/type2-flying/is_tall-oui
R985,generation-2/evolution-2/type1-bug/type2-flying,oui,generation-2/evolution-2/type1-bug/type2-flying/is_tall-oui
R986,generation-2/evolution-1/type1-bug/type2-poison,non,generation-2/evolution-1/type1-bug/type2-poison/is_tall-non
R987,generation-2/evolution-2/type1-bug/type2-poison,oui,generation-2/evolution-2/type1-bug/type2-poison/is_tall-oui
R988,generation-2/evolution-3/type1-poison/type2-flying,oui,generation-2/evolution-3/type1-poison/type2-flying/is_tall-oui
R989,generation-2/evolution-1/type1-water/type2-electric,non,generation-2/evolution-1/type1-water/type2-electric/is_tall-non
R990,generation-2/evolution-2/type1-water/type2-electric,oui,generation-2/evolution-2/type1-water/type2-electric/is_tall-oui
R991,generation-2/evolution-1/type1-electric/type2-aucun,non,generation-2/evolution-1/type1-electric/type2-aucun/is_tall-non
R992,generation-2/evolution-1/type1-fairy/type2-aucun,non,generation-2/evolution-1/type1-fairy/type2-aucun/is_tall-non
R993,generation-2/evolution-1/type1-normal/type2-fairy,non,generation-2/evolution-1/type1-normal/type2-fairy/is_tall-non
R994,generation-2/evolution-2/type1-fairy/type2-flying,non,generation-2/evolution-2/type1-fairy/type2-flying/is_tall-non
R995,generation-2/evolution-1/type1-psychic/type2-flying,non,generation-2/evolution-1/type1-psychic/type2-flying/is_tall-non
R996,generation-2/evolution-2/type1-psychic/type2-flying,oui,generation-2/evolution-2/type1-psychic/type2-flying/is_tall-oui
R997,generation-2/evolution-2/type1-electric/type2-aucun,non,generation-2/evolution-2/type1-electric/type2-aucun/is_tall-non
R998,generation-2/evolution-3/type1-electric/type2-aucun,oui,generation-2/evolution-3/type1-electric/type2-aucun/is_tall-oui
R999,generation-2/evolution-3/type1-grass/type2-aucun,non,generation-2/evolution-3/type1-grass/type2-aucun/is_tall-non
R1000,generation-2/evolution-2/type1-water/type2-fairy,non,generation-2/evolution-2/type1-water/type2-fairy/is_tall-non
R1001,generation-2/evolution-3/type1-water/type2-fairy,non,generation-2/evolution-3/type1-water/type2-fairy/is_tall-non
R1002,generation-2/evolution-2/type1-rock/type2-aucun,oui,generation-2/evolution-2/type1-rock/type2-aucun/is_tall-oui
R1003,generation-2/evolution-1/type1-grass/type2-flying,non,generation-2/evolution-1/type1-grass/type2-flying/is_tall-non
R1004,generation-2/evolution-2/type1-grass/type2-flying,non,generation-2/evolution-2/type1-grass/type2-flying/is_tall-non
R1005,generation-2/evolution-3/type1-grass/type2-flying,non,generation-2/evolution-3/type1-grass/type2-flying/is_tall-non
R1006,generation-2/evolution-2/type1-grass/type2-aucun,non,generation-2/evolution-2/type1-grass/type2-aucun/is_tall-non
R1007,generation-2/evolution-1/type1-water/type2-ground,non,generation-2/evolution-1/type1-water/type2-ground/is_tall-non
R1008,generation-2/evolution-2/type1-water/type2-ground,oui,generation-2/evolution-2/type1-water/type2-ground/is_tall-oui
R1009,generation-2/evolution-2/type1-psychic/type2-aucun,non,generation-2/evolution-2/type1-psychic/type2-aucun/is_tall-non
R1010,generation-2/evolution-2/type1-dark/type2-aucun,oui,generation-2/evolution-2/type1-dark/type2-aucun/is_tall-oui
R1011,generation-2/evolution-1/type1-dark/type2-flying,non,generation-2/evolution-1/type1-dark/type2-flying/is_tall-non
R1012,generation-2/evolution-2/type1-water/type2-psychic,oui,generation-2/evolution-2/type1-water/type2-psychic/is_tall-oui
R1013,generation-2/evolution-1/type1-ghost/type2-aucun,non,generation-2/evolution-1/type1-ghost/type2-aucun/is_tall-non
R1014,generation-2/evolution-1/type1-psychic/type2-aucun,non,generation-2/evolution-1/type1-psychic/type2-aucun/is_tall-non
R1015,generation-2/evolution-2/type1-psychic/type2-aucun,oui,generation-2/evolution-2/type1-psychic/type2-aucun/is_tall-oui
R1016,generation-2/evolution-1/type1-normal/type2-psychic,oui,generation-2/evolution-1/type1-normal/type2-psychic/is_tall-oui
R1017,generation-2/evolution-1/type1-bug/type2-aucun,non,generation-2/evolution-1/type1-bug/type2-aucun/is_tall-non
R1018,generation-2/evolution-2/type1-bug/type2-steel,oui,generation-2/evolution-2/type1-bug/type2-steel/is_tall-oui
R1019,generation-2/evolution-1/type1-normal/type2-aucun,oui,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-oui
R1020,generation-2/evolution-1/type1-ground/type2-flying,oui,generation-2/evolution-1/type1-ground/type2-flying/is_tall-oui
R1021,generation-2/evolution-2/type1-steel/type2-ground,oui,generation-2/evolution-2/type1-steel/type2-ground/is_tall-oui
R1022,generation-2/evolution-2/type1-fairy/type2-aucun,oui,generation-2/evolution-2/type1-fairy/type2-aucun/is_tall-oui
R1023,generation-2/evolution-1/type1-water/type2-poison,non,generation-2/evolution-1/type1-water/type2-poison/is_tall-non
R1024,generation-2/evolution-1/type1-bug/type2-rock,non,generation-2/evolution-1/type1-bug/type2-rock/is_tall-non
R1025,generation-2/evolution-1/type1-bug/type2-fighting,oui,generation-2/evolution-1/type1-bug/type2-fighting/is_tall-oui
R1026,generation-2/evolution-1/type1-dark/type2-ice,non,generation-2/evolution-1/type1-dark/type2-ice/is_tall-non
R1027,generation-2/evolution-2/type1-fire/type2-rock,non,generation-2/evolution-2/type1-fire/type2-rock/is_tall-non
R1028,generation-2/evolution-1/type1-ice/type2-ground,non,generation-2/evolution-1/type1-ice/type2-ground/is_tall-non
R1029,generation-2/evolution-2/type1-ice/type2-ground,oui,generation-2/evolution-2/type1-ice/type2-ground/is_tall-oui
R1030,generation-2/evolution-1/type1-water/type2-rock,non,generation-2/evolution-1/type1-water/type2-rock/is_tall-non
R1031,generation-2/evolution-2/type1-water/type2-aucun,non,generation-2/evolution-2/type1-water/type2-aucun/is_tall-non
R1032,generation-2/evolution-1/type1-ice/type2-flying,non,generation-2/evolution-1/type1-ice/type2-flying/is_tall-non
R1033,generation-2/evolution-2/type1-water/type2-flying,oui,generation-2/evolution-2/type1-water/type2-flying/is_tall-oui
R1034,generation-2/evolution-1/type1-steel/type2-flying,oui,generation-2/evolution-1/type1-steel/type2-flying/is_tall-oui
R1035,generation-2/evolution-1/type1-dark/type2-fire,non,generation-2/evolution-1/type1-dark/type2-fire/is_tall-non
R1036,generation-2/evolution-2/type1-dark/type2-fire,oui,generation-2/evolution-2/type1-dark/type2-fire/is_tall-oui
R1037,generation-2/evolution-3/type1-water/type2-dragon,oui,generation-2/evolution-3/type1-water/type2-dragon/is_tall-oui
R1038,generation-2/evolution-1/type1-ground/type2-aucun,non,generation-2/evolution-1/type1-ground/type2-aucun/is_tall-non
R1039,generation-2/evolution-2/type1-ground/type2-aucun,oui,generation-2/evolution-2/type1-ground/type2-aucun/is_tall-oui
R1040,generation-2/evolution-2/type1-normal/type2-aucun,non,generation-2/evolution-2/type1-normal/type2-aucun/is_tall-non
R1041,generation-2/evolution-1/type1-fighting/type2-aucun,non,generation-2/evolution-1/type1-fighting/type2-aucun/is_tall-non
R1042,generation-2/evolution-2/type1-fighting/type2-aucun,oui,generation-2/evolution-2/type1-fighting/type2-aucun/is_tall-oui
R1043,generation-2/evolution-1/type1-ice/type2-psychic,non,generation-2/evolution-1/type1-ice/type2-psychic/is_tall-non
R1044,generation-2/evolution-3/type1-normal/type2-aucun,oui,generation-2/evolution-3/type1-normal/type2-aucun/is_tall-oui
R1045,generation-2/evolution-1/type1-electric/type2-aucun,oui,generation-2/evolution-1/type1-electric/type2-aucun/is_tall-oui
R1046,generation-2/evolution-1/type1-fire/type2-aucun,oui,generation-2/evolution-1/type1-fire/type2-aucun/is_tall-oui
R1047,generation-2/evolution-1/type1-water/type2-aucun,oui,generation-2/evolution-1/type1-water/type2-aucun/is_tall-oui
R1048,generation-2/evolution-1/type1-rock/type2-ground,non,generation-2/evolution-1/type1-rock/type2-ground/is_tall-non
R1049,generation-2/evolution-2/type1-rock/type2-ground,oui,generation-2/evolution-2/type1-rock/type2-ground/is_tall-oui
R1050,generation-2/evolution-3/type1-rock/type2-dark,oui,generation-2/evolution-3/type1-rock/type2-dark/is_tall-oui
R1051,generation-2/evolution-1/type1-psychic/type2-flying,oui,generation-2/evolution-1/type1-psychic/type2-flying/is_tall-oui
R1052,generation-2/evolution-1/type1-fire/type2-flying,oui,generation-2/evolution-1/type1-fire/type2-flying/is_tall-oui
R1053,generation-2/evolution-1/type1-psychic/type2-grass,non,generation-2/evolution-1/type1-psychic/type2-grass/is_tall-non
R1054,generation-3/evolution-1/type1-grass/type2-aucun,non,generation-3/evolution-1/type1-grass/type2-aucun/is_tall-non
R1055,generation-3/evolution-2/type1-grass/type2-aucun,non,generation-3/evolution-2/type1-grass/type2-aucun/is_tall-non
R1056,generation-3/evolution-3/type1-grass/type2-aucun,oui,generation-3/evolution-3/type1-grass/type2-aucun/is_tall-oui
R1057,generation-3/evolution-1/type1-fire/type2-aucun,non,generation-3/evolution-1/type1-fire/type2-aucun/is_tall-non
R1058,generation-3/evolution-2/type1-fire/type2-fighting,non,generation-3/evolution-2/type1-fire/type2-fighting/is_tall-non
R1059,generation-3/evolution-3/type1-fire/type2-fighting,oui,generation-3/evolution-3/type1-fire/type2-fighting/is_tall-oui
R1060,generation-3/evolution-1/type1-water/type2-aucun,non,generation-3/evolution-1/type1-water/type2-aucun/is_tall-non
R1061,generation-3/evolution-2/type1-water/type2-ground,non,generation-3/evolution-2/type1-water/type2-ground/is_tall-non
R1062,generation-3/evolution-3/type1-water/type2-ground,oui,generation-3/evolution-3/type1-water/type2-ground/is_tall-oui
R1063,generation-3/evolution-1/type1-dark/type2-aucun,non,generation-3/evolution-1/type1-dark/type2-aucun/is_tall-non
R1064,generation-3/evolution-2/type1-dark/type2-aucun,oui,generation-3/evolution-2/type1-dark/type2-aucun/is_tall-oui
R1065,generation-3/evolution-1/type1-normal/type2-aucun,non,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-non
R1066,generation-3/evolution-2/type1-normal/type2-aucun,non,generation-3/evolution-2/type1-normal/type2-aucun/is_tall-non
R1067,generation-3/evolution-1/type1-bug/type2-aucun,non,generation-3/evolution-1/type1-bug/type2-aucun/is_tall-non
R1068,generation-3/evolution-2/type1-bug/type2-aucun,non,generation-3/evolution-2/type1-bug/type2-aucun/is_tall-non
R1069,generation-3/evolution-3/type1-bug/type2-flying,oui,generation-3/evolution-3/type1-bug/type2-flying/is_tall-oui
R1070,generation-3/evolution-3/type1-bug/type2-poison,oui,generation-3/evolution-3/type1-bug/type2-poison/is_tall-oui
R1071,generation-3/evolution-1/type1-water/type2-grass,non,generation-3/evolution-1/type1-water/type2-grass/is_tall-non
R1072,generation-3/evolution-2/type1-water/type2-grass,oui,generation-3/evolution-2/type1-water/type2-grass/is_tall-oui
R1073,generation-3/evolution-3/type1-water/type2-grass,oui,generation-3/evolution-3/type1-water/type2-grass/is_tall-oui
R1074,generation-3/evolution-2/type1-grass/type2-dark,oui,generation-3/evolution-2/type1-grass/type2-dark/is_tall-oui
R1075,generation-3/evolution-3/type1-grass/type2-dark,oui,generation-3/evolution-3/type1-grass/type2-dark/is_tall-oui
R1076,generation-3/evolution-1/type1-normal/type2-flying,non,generation-3/evolution-1/type1-normal/type2-flying/is_tall-non
R1077,generation-3/evolution-2/type1-normal/type2-flying,non,generation-3/evolution-2/type1-normal/type2-flying/is_tall-non
R1078,generation-3/evolution-1/type1-water/type2-flying,non,generation-3/evolution-1/type1-water/type2-flying/is_tall-non
R1079,generation-3/evolution-2/type1-water/type2-flying,oui,generation-3/evolution-2/type1-water/type2-flying/is_tall-oui
R1080,generation-3/evolution-1/type1-psychic/type2-fairy,non,generation-3/evolution-1/type1-psychic/type2-fairy/is_tall-non
R1081,generation-3/evolution-2/type1-psychic/type2-fairy,non,generation-3/evolution-2/type1-psychic/type2-fairy/is_tall-non
R1082,generation-3/evolution-3/type1-psychic/type2-fairy,oui,generation-3/evolution-3/type1-psychic/type2-fairy/is_tall-oui
R1083,generation-3/evolution-1/type1-bug/type2-water,non,generation-3/evolution-1/type1-bug/type2-water/is_tall-non
R1084,generation-3/evolution-2/type1-bug/type2-flying,non,generation-3/evolution-2/type1-bug/type2-flying/is_tall-non
R1085,generation-3/evolution-2/type1-grass/type2-fighting,oui,generation-3/evolution-2/type1-grass/type2-fighting/is_tall-oui
R1086,generation-3/evolution-2/type1-normal/type2-aucun,oui,generation-3/evolution-2/type1-normal/type2-aucun/is_tall-oui
R1087,generation-3/evolution-3/type1-normal/type2-aucun,oui,generation-3/evolution-3/type1-normal/type2-aucun/is_tall-oui
R1088,generation-3/evolution-1/type1-bug/type2-ground,non,generation-3/evolution-1/type1-bug/type2-ground/is_tall-non
R1089,generation-3/evolution-2/type1-bug/type2-ghost,non,generation-3/evolution-2/type1-bug/type2-ghost/is_tall-non
R1090,generation-3/evolution-1/type1-fighting/type2-aucun,oui,generation-3/evolution-1/type1-fighting/type2-aucun/is_tall-oui
R1091,generation-3/evolution-2/type1-fighting/type2-aucun,oui,generation-3/evolution-2/type1-fighting/type2-aucun/is_tall-oui
R1092,generation-3/evolution-1/type1-normal/type2-fairy,non,generation-3/evolution-1/type1-normal/type2-fairy/is_tall-non
R1093,generation-3/evolution-1/type1-rock/type2-aucun,oui,generation-3/evolution-1/type1-rock/type2-aucun/is_tall-oui
R1094,generation-3/evolution-1/type1-dark/type2-ghost,non,generation-3/evolution-1/type1-dark/type2-ghost/is_tall-non
R1095,generation-3/evolution-1/type1-steel/type2-fairy,non,generation-3/evolution-1/type1-steel/type2-fairy/is_tall-non
R1096,generation-3/evolution-1/type1-steel/type2-rock,non,generation-3/evolution-1/type1-steel/type2-rock/is_tall-non
R1097,generation-3/evolution-2/type1-steel/type2-rock,non,generation-3/evolution-2/type1-steel/type2-rock/is_tall-non
R1098,generation-3/evolution-3/type1-steel/type2-rock,oui,generation-3/evolution-3/type1-steel/type2-rock/is_tall-oui
R1099,generation-3/evolution-1/type1-fighting/type2-psychic,non,generation-3/evolution-1/type1-fighting/type2-psychic/is_tall-non
R1100,generation-3/evolution-2/type1-fighting/type2-psychic,oui,generation-3/evolution-2/type1-fighting/type2-psychic/is_tall-oui
R1101,generation-3/evolution-1/type1-electric/type2-aucun,non,generation-3/evolution-1/type1-electric/type2-aucun/is_tall-non
R1102,generation-3/evolution-2/type1-electric/type2-aucun,oui,generation-3/evolution-2/type1-electric/type2-aucun/is_tall-oui
