rule,premise,classfication,conclusion
R2146,generation-1/evolution-2/type1-electric/type2-aucun/is_tall-non/is_legendary-non,mouse,Pikachu
R2147,generation-1/evolution-3/type1-electric/type2-electric/is_tall-non/is_legendary-non,mouse,Raichu
R2148,generation-1/evolution-1/type1-ground/type2-ice/is_tall-non/is_legendary-non,mouse,Sandshrew
R2149,generation-1/evolution-2/type1-ground/type2-ice/is_tall-non/is_legendary-non,mouse,Sandslash
R2150,generation-1/evolution-1/type1-poison/type2-aucun/is_tall-non/is_legendary-non,poison pin,Nidoran♀
R2151,generation-1/evolution-2/type1-poison/type2-aucun/is_tall-non/is_legendary-non,poison pin,Nidorina
R2152,generation-1/evolution-3/type1-poison/type2-ground/is_tall-oui/is_legendary-non,drill,Nidoqueen
R2153,generation-1/evolution-1/type1-poison/type2-aucun/is_tall-non/is_legendary-non,poison pin,Nidoran♂
R2154,generation-1/evolution-2/type1-poison/type2-aucun/is_tall-non/is_legendary-non,poison pin,Nidorino
R2155,generation-1/evolution-3/type1-poison/type2-ground/is_tall-oui/is_legendary-non,drill,Nidoking
R2156,generation-1/evolution-2/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,fairy,Clefairy
R2157,generation-1/evolution-3/type1-fairy/type2-aucun/is_tall-oui/is_legendary-non,fairy,Clefable
R2158,generation-1/evolution-1/type1-fire/type2-ice/is_tall-non/is_legendary-non,fox,Vulpix
R2159,generation-1/evolution-2/type1-fire/type2-ice/is_tall-non/is_legendary-non,fox,Ninetales
R2160,generation-1/evolution-2/type1-normal/type2-fairy/is_tall-non/is_legendary-non,balloon,Jigglypuff
R2161,generation-1/evolution-3/type1-normal/type2-fairy/is_tall-oui/is_legendary-non,balloon,Wigglytuff
R2162,generation-1/evolution-1/type1-poison/type2-flying/is_tall-non/is_legendary-non,bat,Zubat
R2163,generation-1/evolution-2/type1-poison/type2-flying/is_tall-oui/is_legendary-non,bat,Golbat
R2164,generation-1/evolution-1/type1-grass/type2-poison/is_tall-non/is_legendary-non,weed,Oddish
R2165,generation-1/evolution-2/type1-grass/type2-poison/is_tall-non/is_legendary-non,weed,Gloom
R2166,generation-1/evolution-3/type1-grass/type2-poison/is_tall-oui/is_legendary-non,flower,Vileplume
R2167,generation-1/evolution-1/type1-bug/type2-grass/is_tall-non/is_legendary-non,mushroom,Paras
R2168,generation-1/evolution-2/type1-bug/type2-grass/is_tall-oui/is_legendary-non,mushroom,Parasect
R2169,generation-1/evolution-1/type1-bug/type2-poison/is_tall-oui/is_legendary-non,insect,Venonat
R2170,generation-1/evolution-2/type1-bug/type2-poison/is_tall-oui/is_legendary-non,poison moth,Venomoth
R2171,generation-1/evolution-1/type1-ground/type2-ground/is_tall-non/is_legendary-non,mole,Diglett
R2172,generation-1/evolution-2/type1-ground/type2-ground/is_tall-non/is_legendary-non,mole,Dugtrio
R2173,generation-1/evolution-1/type1-normal/type2-dark/is_tall-non/is_legendary-non,scratch cat,Meowth
R2174,generation-1/evolution-2/type1-normal/type2-dark/is_tall-non/is_legendary-non,classy cat,Persian
R2175,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,duck,Psyduck
R2176,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,duck,Golduck
R2177,generation-1/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,pig monkey,Mankey
R2178,generation-1/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,pig monkey,Primeape
R2179,generation-1/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,puppy,Growlithe
R2180,generation-1/evolution-2/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,legendary,Arcanine
R2181,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,tadpole,Poliwag
R2182,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,tadpole,Poliwhirl
R2183,generation-1/evolution-3/type1-water/type2-fighting/is_tall-oui/is_legendary-non,tadpole,Poliwrath
R2184,generation-1/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,psi,Abra
R2185,generation-1/evolution-2/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,psi,Kadabra
R2186,generation-1/evolution-3/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,psi,Alakazam
R2187,generation-1/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,superpower,Machop
R2188,generation-1/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,superpower,Machoke
R2189,generation-1/evolution-3/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,superpower,Machamp
R2190,generation-1/evolution-1/type1-grass/type2-poison/is_tall-non/is_legendary-non,flower,Bellsprout
R2191,generation-1/evolution-2/type1-grass/type2-poison/is_tall-oui/is_legendary-non,flycatcher,Weepinbell
R2192,generation-1/evolution-3/type1-grass/type2-poison/is_tall-oui/is_legendary-non,flycatcher,Victreebel
R2193,generation-1/evolution-1/type1-water/type2-poison/is_tall-non/is_legendary-non,jellyfish,Tentacool
R2194,generation-1/evolution-2/type1-water/type2-poison/is_tall-oui/is_legendary-non,jellyfish,Tentacruel
R2195,generation-1/evolution-1/type1-rock/type2-ground/is_tall-non/is_legendary-non,rock,Geodude
R2196,generation-1/evolution-2/type1-rock/type2-ground/is_tall-non/is_legendary-non,rock,Graveler
R2197,generation-1/evolution-3/type1-rock/type2-ground/is_tall-non/is_legendary-non,megaton,Golem
R2198,generation-1/evolution-1/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,fire horse,Ponyta
R2199,generation-1/evolution-2/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,fire horse,Rapidash
R2200,generation-1/evolution-1/type1-water/type2-psychic/is_tall-oui/is_legendary-non,dopey,Slowpoke
R2201,generation-1/evolution-2/type1-water/type2-psychic/is_tall-oui/is_legendary-non,hermit crab,Slowbro
R2202,generation-1/evolution-1/type1-electric/type2-steel/is_tall-non/is_legendary-non,magnet,Magnemite
R2203,generation-1/evolution-2/type1-electric/type2-steel/is_tall-oui/is_legendary-non,magnet,Magneton
R2204,generation-1/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,wild duck,Farfetch'd
R2205,generation-1/evolution-1/type1-normal/type2-flying/is_tall-oui/is_legendary-non,twin bird,Doduo
R2206,generation-1/evolution-2/type1-normal/type2-flying/is_tall-oui/is_legendary-non,triple bird,Dodrio
R2207,generation-1/evolution-1/type1-water/type2-aucun/is_tall-oui/is_legendary-non,sea lion,Seel
R2208,generation-1/evolution-2/type1-water/type2-ice/is_tall-oui/is_legendary-non,sea lion,Dewgong
R2209,generation-1/evolution-1/type1-poison/type2-poison/is_tall-non/is_legendary-non,sludge,Grimer
R2210,generation-1/evolution-2/type1-poison/type2-poison/is_tall-non/is_legendary-non,sludge,Muk
R2211,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,bivalve,Shellder
R2212,generation-1/evolution-2/type1-water/type2-ice/is_tall-oui/is_legendary-non,bivalve,Cloyster
R2213,generation-1/evolution-1/type1-ghost/type2-poison/is_tall-oui/is_legendary-non,gas,Gastly
R2214,generation-1/evolution-2/type1-ghost/type2-poison/is_tall-oui/is_legendary-non,gas,Haunter
R2215,generation-1/evolution-3/type1-ghost/type2-poison/is_tall-oui/is_legendary-non,shadow,Gengar
R2216,generation-1/evolution-1/type1-rock/type2-ground/is_tall-oui/is_legendary-non,rock snake,Onix
R2217,generation-1/evolution-1/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,hypnosis,Drowzee
R2218,generation-1/evolution-2/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,hypnosis,Hypno
R2219,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,river crab,Krabby
R2220,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,pincer,Kingler
R2221,generation-1/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,ball,Voltorb
R2222,generation-1/evolution-2/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,ball,Electrode
R2223,generation-1/evolution-1/type1-grass/type2-psychic/is_tall-non/is_legendary-non,egg,Exeggcute
R2224,generation-1/evolution-2/type1-grass/type2-psychic/is_tall-non/is_legendary-non,coconut,Exeggutor
R2225,generation-1/evolution-1/type1-ground/type2-aucun/is_tall-non/is_legendary-non,lonely,Cubone
R2226,generation-1/evolution-2/type1-ground/type2-fire/is_tall-non/is_legendary-non,bone keeper,Marowak
R2227,generation-1/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,kicking,Hitmonlee
R2228,generation-1/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,punching,Hitmonchan
R2229,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,licking,Lickitung
R2230,generation-1/evolution-1/type1-poison/type2-aucun/is_tall-non/is_legendary-non,poison gas,Koffing
R2231,generation-1/evolution-2/type1-poison/type2-aucun/is_tall-oui/is_legendary-non,poison gas,Weezing
R2232,generation-1/evolution-1/type1-ground/type2-rock/is_tall-oui/is_legendary-non,spikes,Rhyhorn
R2233,generation-1/evolution-2/type1-ground/type2-rock/is_tall-oui/is_legendary-non,drill,Rhydon
R2234,generation-1/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,egg,Chansey
R2235,generation-1/evolution-1/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,vine,Tangela
R2236,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,parent,Kangaskhan
R2237,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,dragon,Horsea
R2238,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,dragon,Seadra
R2239,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,goldfish,Goldeen
R2240,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,goldfish,Seaking
R2241,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,starshape,Staryu
R2242,generation-1/evolution-2/type1-water/type2-psychic/is_tall-oui/is_legendary-non,mysterious,Starmie
R2243,generation-1/evolution-2/type1-psychic/type2-fairy/is_tall-oui/is_legendary-non,barrier,Mr. Mime
R2244,generation-1/evolution-1/type1-bug/type2-flying/is_tall-oui/is_legendary-non,mantis,Scyther
R2245,generation-1/evolution-2/type1-ice/type2-psychic/is_tall-oui/is_legendary-non,humanshape,Jynx
R2246,generation-1/evolution-2/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,electric,Electabuzz
R2247,generation-1/evolution-2/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,spitfire,Magmar
R2248,generation-1/evolution-1/type1-bug/type2-aucun/is_tall-oui/is_legendary-non,stagbeetle,Pinsir
R2249,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,wild bull,Tauros
R2250,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,fish,Magikarp
R2251,generation-1/evolution-2/type1-water/type2-flying/is_tall-oui/is_legendary-non,atrocious,Gyarados
R2252,generation-1/evolution-1/type1-water/type2-ice/is_tall-oui/is_legendary-non,transport,Lapras
R2253,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,transform,Ditto
R2254,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,evolution,Eevee
R2255,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,bubble jet,Vaporeon
R2256,generation-1/evolution-2/type1-electric/type2-aucun/is_tall-non/is_legendary-non,lightning,Jolteon
R2257,generation-1/evolution-2/type1-fire/type2-aucun/is_tall-non/is_legendary-non,flame,Flareon
R2258,generation-1/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,virtual,Porygon
R2259,generation-1/evolution-1/type1-rock/type2-water/is_tall-non/is_legendary-non,spiral,Omanyte
R2260,generation-1/evolution-2/type1-rock/type2-water/is_tall-oui/is_legendary-non,spiral,Omastar
R2261,generation-1/evolution-1/type1-rock/type2-water/is_tall-non/is_legendary-non,shellfish,Kabuto
R2262,generation-1/evolution-2/type1-rock/type2-water/is_tall-oui/is_legendary-non,shellfish,Kabutops
R2263,generation-1/evolution-1/type1-rock/type2-flying/is_tall-oui/is_legendary-non,fossil,Aerodactyl
R2264,generation-1/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,sleeping,Snorlax
R2265,generation-1/evolution-1/type1-ice/type2-flying/is_tall-oui/is_legendary-oui,freeze,Articuno
R2266,generation-1/evolution-1/type1-electric/type2-flying/is_tall-oui/is_legendary-oui,electric,Zapdos
R2267,generation-1/evolution-1/type1-fire/type2-flying/is_tall-oui/is_legendary-oui,flame,Moltres
R2268,generation-1/evolution-1/type1-dragon/type2-aucun/is_tall-oui/is_legendary-non,dragon,Dratini
R2269,generation-1/evolution-2/type1-dragon/type2-aucun/is_tall-oui/is_legendary-non,dragon,Dragonair
R2270,generation-1/evolution-3/type1-dragon/type2-flying/is_tall-oui/is_legendary-non,dragon,Dragonite
R2271,generation-1/evolution-1/type1-psychic/type2-aucun/is_tall-oui/is_legendary-oui,genetic,Mewtwo
R2272,generation-1/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-oui,new species,Mew
R2273,generation-2/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,leaf,Chikorita
R2274,generation-2/evolution-2/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,leaf,Bayleef
R2275,generation-2/evolution-3/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,herb,Meganium
R2276,generation-2/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,fire mouse,Cyndaquil
R2277,generation-2/evolution-2/type1-fire/type2-aucun/is_tall-non/is_legendary-non,volcano,Quilava
R2278,generation-2/evolution-3/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,volcano,Typhlosion
R2279,generation-2/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,big jaw,Totodile
R2280,generation-2/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,big jaw,Croconaw
R2281,generation-2/evolution-3/type1-water/type2-aucun/is_tall-oui/is_legendary-non,big jaw,Feraligatr
R2282,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,scout,Sentret
R2283,generation-2/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,long body,Furret
R2284,generation-2/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,owl,Hoothoot
R2285,generation-2/evolution-2/type1-normal/type2-flying/is_tall-oui/is_legendary-non,owl,Noctowl
R2286,generation-2/evolution-1/type1-bug/type2-flying/is_tall-oui/is_legendary-non,five star,Ledyba
R2287,generation-2/evolution-2/type1-bug/type2-flying/is_tall-oui/is_legendary-non,five star,Ledian
R2288,generation-2/evolution-1/type1-bug/type2-poison/is_tall-non/is_legendary-non,string spit,Spinarak
R2289,generation-2/evolution-2/type1-bug/type2-poison/is_tall-oui/is_legendary-non,long leg,Ariados
R2290,generation-2/evolution-3/type1-poison/type2-flying/is_tall-oui/is_legendary-non,bat,Crobat
R2291,generation-2/evolution-1/type1-water/type2-electric/is_tall-non/is_legendary-non,angler,Chinchou
R2292,generation-2/evolution-2/type1-water/type2-electric/is_tall-oui/is_legendary-non,light,Lanturn
R2293,generation-2/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,tiny mouse,Pichu
R2294,generation-2/evolution-1/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,star shape,Cleffa
R2295,generation-2/evolution-1/type1-normal/type2-fairy/is_tall-non/is_legendary-non,balloon,Igglybuff
R2296,generation-2/evolution-1/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,spike ball,Togepi
R2297,generation-2/evolution-2/type1-fairy/type2-flying/is_tall-non/is_legendary-non,happiness,Togetic
R2298,generation-2/evolution-1/type1-psychic/type2-flying/is_tall-non/is_legendary-non,little bird,Natu
R2299,generation-2/evolution-2/type1-psychic/type2-flying/is_tall-oui/is_legendary-non,mystic,Xatu
R2300,generation-2/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,wool,Mareep
R2301,generation-2/evolution-2/type1-electric/type2-aucun/is_tall-non/is_legendary-non,wool,Flaaffy
R2302,generation-2/evolution-3/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,light,Ampharos
R2303,generation-2/evolution-3/type1-grass/type2-aucun/is_tall-non/is_legendary-non,flower,Bellossom
R2304,generation-2/evolution-2/type1-water/type2-fairy/is_tall-non/is_legendary-non,aquamouse,Marill
R2305,generation-2/evolution-3/type1-water/type2-fairy/is_tall-non/is_legendary-non,aquarabbit,Azumarill
R2306,generation-2/evolution-2/type1-rock/type2-aucun/is_tall-oui/is_legendary-non,imitation,Sudowoodo
R2307,generation-2/evolution-3/type1-water/type2-aucun/is_tall-oui/is_legendary-non,frog,Politoed
R2308,generation-2/evolution-1/type1-grass/type2-flying/is_tall-non/is_legendary-non,cottonweed,Hoppip
R2309,generation-2/evolution-2/type1-grass/type2-flying/is_tall-non/is_legendary-non,cottonweed,Skiploom
R2310,generation-2/evolution-3/type1-grass/type2-flying/is_tall-non/is_legendary-non,cottonweed,Jumpluff
R2311,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,long tail,Aipom
R2312,generation-2/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,seed,Sunkern
R2313,generation-2/evolution-2/type1-grass/type2-aucun/is_tall-non/is_legendary-non,sun,Sunflora
R2314,generation-2/evolution-1/type1-bug/type2-flying/is_tall-oui/is_legendary-non,clear wing,Yanma
R2315,generation-2/evolution-1/type1-water/type2-ground/is_tall-non/is_legendary-non,water fish,Wooper
R2316,generation-2/evolution-2/type1-water/type2-ground/is_tall-oui/is_legendary-non,water fish,Quagsire
R2317,generation-2/evolution-2/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,sun,Espeon
R2318,generation-2/evolution-2/type1-dark/type2-aucun/is_tall-oui/is_legendary-non,moonlight,Umbreon
R2319,generation-2/evolution-1/type1-dark/type2-flying/is_tall-non/is_legendary-non,darkness,Murkrow
R2320,generation-2/evolution-2/type1-water/type2-psychic/is_tall-oui/is_legendary-non,royal,Slowking
R2321,generation-2/evolution-1/type1-ghost/type2-aucun/is_tall-non/is_legendary-non,screech,Misdreavus
R2322,generation-2/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,symbol,Unown
R2323,generation-2/evolution-2/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,patient,Wobbuffet
R2324,generation-2/evolution-1/type1-normal/type2-psychic/is_tall-oui/is_legendary-non,long neck,Girafarig
R2325,generation-2/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,bagworm,Pineco
R2326,generation-2/evolution-2/type1-bug/type2-steel/is_tall-oui/is_legendary-non,bagworm,Forretress
R2327,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,land snake,Dunsparce
R2328,generation-2/evolution-1/type1-ground/type2-flying/is_tall-oui/is_legendary-non,flyscorpion,Gligar
R2329,generation-2/evolution-2/type1-steel/type2-ground/is_tall-oui/is_legendary-non,iron snake,Steelix
R2330,generation-2/evolution-1/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,fairy,Snubbull
R2331,generation-2/evolution-2/type1-fairy/type2-aucun/is_tall-oui/is_legendary-non,fairy,Granbull
R2332,generation-2/evolution-1/type1-water/type2-poison/is_tall-non/is_legendary-non,balloon,Qwilfish
R2333,generation-2/evolution-2/type1-bug/type2-steel/is_tall-oui/is_legendary-non,pincer,Scizor
R2334,generation-2/evolution-1/type1-bug/type2-rock/is_tall-non/is_legendary-non,mold,Shuckle
R2335,generation-2/evolution-1/type1-bug/type2-fighting/is_tall-oui/is_legendary-non,singlehorn,Heracross
R2336,generation-2/evolution-1/type1-dark/type2-ice/is_tall-non/is_legendary-non,sharp claw,Sneasel
R2337,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,little bear,Teddiursa
R2338,generation-2/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,hibernator,Ursaring
R2339,generation-2/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,lava,Slugma
R2340,generation-2/evolution-2/type1-fire/type2-rock/is_tall-non/is_legendary-non,lava,Magcargo
R2341,generation-2/evolution-1/type1-ice/type2-ground/is_tall-non/is_legendary-non,pig,Swinub
R2342,generation-2/evolution-2/type1-ice/type2-ground/is_tall-oui/is_legendary-non,swine,Piloswine
R2343,generation-2/evolution-1/type1-water/type2-rock/is_tall-non/is_legendary-non,coral,Corsola
R2344,generation-2/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,jet,Remoraid
R2345,generation-2/evolution-2/type1-water/type2-aucun/is_tall-non/is_legendary-non,jet,Octillery
R2346,generation-2/evolution-1/type1-ice/type2-flying/is_tall-non/is_legendary-non,delivery,Delibird
R2347,generation-2/evolution-2/type1-water/type2-flying/is_tall-oui/is_legendary-non,kite,Mantine
R2348,generation-2/evolution-1/type1-steel/type2-flying/is_tall-oui/is_legendary-non,armor bird,Skarmory
R2349,generation-2/evolution-1/type1-dark/type2-fire/is_tall-non/is_legendary-non,dark,Houndour
R2350,generation-2/evolution-2/type1-dark/type2-fire/is_tall-oui/is_legendary-non,dark,Houndoom
R2351,generation-2/evolution-3/type1-water/type2-dragon/is_tall-oui/is_legendary-non,dragon,Kingdra
R2352,generation-2/evolution-1/type1-ground/type2-aucun/is_tall-non/is_legendary-non,long nose,Phanpy
R2353,generation-2/evolution-2/type1-ground/type2-aucun/is_tall-oui/is_legendary-non,armor,Donphan
R2354,generation-2/evolution-2/type1-normal/type2-aucun/is_tall-non/is_legendary-non,virtual,Porygon2
R2355,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,big horn,Stantler
R2356,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,painter,Smeargle
R2357,generation-2/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,scuffle,Tyrogue
R2358,generation-2/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,handstand,Hitmontop
R2359,generation-2/evolution-1/type1-ice/type2-psychic/is_tall-non/is_legendary-non,kiss,Smoochum
R2360,generation-2/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,electric,Elekid
R2361,generation-2/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,live coal,Magby
R2362,generation-2/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,milk cow,Miltank
R2363,generation-2/evolution-3/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,happiness,Blissey
R2364,generation-2/evolution-1/type1-electric/type2-aucun/is_tall-oui/is_legendary-oui,thunder,Raikou
R2365,generation-2/evolution-1/type1-fire/type2-aucun/is_tall-oui/is_legendary-oui,volcano,Entei
R2366,generation-2/evolution-1/type1-water/type2-aucun/is_tall-oui/is_legendary-oui,aurora,Suicune
R2367,generation-2/evolution-1/type1-rock/type2-ground/is_tall-non/is_legendary-non,rock skin,Larvitar
R2368,generation-2/evolution-2/type1-rock/type2-ground/is_tall-oui/is_legendary-non,hard shell,Pupitar
R2369,generation-2/evolution-3/type1-rock/type2-dark/is_tall-oui/is_legendary-non,armor,Tyranitar
R2370,generation-2/evolution-1/type1-psychic/type2-flying/is_tall-oui/is_legendary-oui,diving,Lugia
R2371,generation-2/evolution-1/type1-fire/type2-flying/is_tall-oui/is_legendary-oui,rainbow,Ho-Oh
R2372,generation-2/evolution-1/type1-psychic/type2-grass/is_tall-non/is_legendary-oui,time travel,Celebi
R2373,generation-3/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,wood gecko,Treecko
R2374,generation-3/evolution-2/type1-grass/type2-aucun/is_tall-non/is_legendary-non,wood gecko,Grovyle
R2375,generation-3/evolution-3/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,forest,Sceptile
R2376,generation-3/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,chick,Torchic
R2377,generation-3/evolution-2/type1-fire/type2-fighting/is_tall-non/is_legendary-non,young fowl,Combusken
R2378,generation-3/evolution-3/type1-fire/type2-fighting/is_tall-oui/is_legendary-non,blaze,Blaziken
R2379,generation-3/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,mud fish,Mudkip
R2380,generation-3/evolution-2/type1-water/type2-ground/is_tall-non/is_legendary-non,mud fish,Marshtomp
R2381,generation-3/evolution-3/type1-water/type2-ground/is_tall-oui/is_legendary-non,mud fish,Swampert
R2382,generation-3/evolution-1/type1-dark/type2-aucun/is_tall-non/is_legendary-non,bite,Poochyena
R2383,generation-3/evolution-2/type1-dark/type2-aucun/is_tall-oui/is_legendary-non,bite,Mightyena
R2384,generation-3/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,tiny racoon,Zigzagoon
